Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,Adm,16,15,
CRISTO REY HS-SACRAMENTO54211,CRISTO REY HS-SACRAMENTO,Sacramento,Sacramento,Enr,8,7,
CRISTO REY SAN JOSE JESUIT HS54860,CRISTO REY SAN JOSE JESUIT HS,San Jose,Santa Clara,App,60,39,20
CRISTO REY SAN JOSE JESUIT HS54860,CRISTO REY SAN JOSE JESUIT HS,San Jose,Santa Clara,Adm,39,29,9
CRISTO REY SAN JOSE JESUIT HS54860,CRISTO REY SAN JOSE JESUIT HS,San Jose,Santa Clara,Enr,20,15,5
CROSSROADS CHRISTIAN SCHOOL50562,CROSSROADS CHRISTIAN SCHOOL,Corona,Riverside,App,5,,
CROSSROADS SCHOOL53307,CROSSROADS SCHOOL,Santa Monica,Los Angeles,App,71,36,35
CROSSROADS SCHOOL53307,CROSSROADS SCHOOL,Santa Monica,Los Angeles,Adm,46,26,20
CROSSROADS SCHOOL53307,CROSSROADS SCHOOL,Santa Monica,Los Angeles,Enr,11,5,6
CRYSTAL SPRINGS UPLANDS SCH51173,CRYSTAL SPRINGS UPLANDS SCH,Hillsborough,San Mateo,App,41,22,19
CRYSTAL SPRINGS UPLANDS SCH51173,CRYSTAL SPRINGS UPLANDS SCH,Hillsborough,San Mateo,Adm,25,12,13
CRYSTAL SPRINGS UPLANDS SCH51173,CRYSTAL SPRINGS UPLANDS SCH,Hillsborough,San Mateo,Enr,3,,
DAMIEN HIGH SCHOOL52502,DAMIEN HIGH SCHOOL,La Verne,Los Angeles,App,108,,105
DAMIEN HIGH SCHOOL52502,DAMIEN HIGH SCHOOL,La Verne,Los Angeles,Adm,75,,72
DAMIEN HIGH SCHOOL52502,DAMIEN HIGH SCHOOL,La Verne,Los Angeles,Enr,30,,28
DE LA SALLE HIGH SCHOOL50662,DE LA SALLE HIGH SCHOOL,Concord,Contra Costa,App,88,,85
DE LA SALLE HIGH SCHOOL50662,DE LA SALLE HIGH SCHOOL,Concord,Contra Costa,Adm,39,,38
DE LA SALLE HIGH SCHOOL50662,DE LA SALLE HIGH SCHOOL,Concord,Contra Costa,Enr,19,,18
DE TOLEDO HIGH SCHOOL53748,DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles,App,44,29,15
DE TOLEDO HIGH SCHOOL53748,DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles,Adm,28,18,10
DE TOLEDO HIGH SCHOOL53748,DE TOLEDO HIGH SCHOOL,West Hills,Los Angeles,Enr,10,8,
DEHESA CHARTER SCHOOL50601,DEHESA CHARTER SCHOOL,Escondido,San Diego,Adm,3,,
DESERT CHRISTIAN ACADEMY52316,DESERT CHRISTIAN ACADEMY,Bermuda Dunes,Riverside,App,5,,
DESERT CHRISTIAN ACADEMY52316,DESERT CHRISTIAN ACADEMY,Bermuda Dunes,Riverside,Adm,4,,
DESERT CHRISTIAN HIGH SCHOOL51389,DESERT CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,App,13,10,
DESERT CHRISTIAN HIGH SCHOOL51389,DESERT CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,Adm,8,7,
DESERT CHRISTIAN HIGH SCHOOL51389,DESERT CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,Enr,4,3,
DEVELOPING VIRTUE SEC SCHOOL53483,DEVELOPING VIRTUE SEC SCHOOL,Talmage,Mendocino,App,8,,
DEVELOPING VIRTUE SEC SCHOOL53483,DEVELOPING VIRTUE SEC SCHOOL,Talmage,Mendocino,Adm,7,4,3
DEVELOPING VIRTUE SEC SCHOOL53483,DEVELOPING VIRTUE SEC SCHOOL,Talmage,Mendocino,Enr,4,,
DON BOSCO TECHNICAL INSTITUTE53053,DON BOSCO TECHNICAL INSTITUTE,Rosemead,Los Angeles,App,42,,42
DON BOSCO TECHNICAL INSTITUTE53053,DON BOSCO TECHNICAL INSTITUTE,Rosemead,Los Angeles,Adm,14,,14
DON BOSCO TECHNICAL INSTITUTE53053,DON BOSCO TECHNICAL INSTITUTE,Rosemead,Los Angeles,Enr,8,,8
DREW SCHOOL52940,DREW SCHOOL,San Francisco,San Francisco,App,35,18,16
DREW SCHOOL52940,DREW SCHOOL,San Francisco,San Francisco,Adm,19,8,10
DREW SCHOOL52940,DREW SCHOOL,San Francisco,San Francisco,Enr,7,3,4
DUNN SCHOOL51863,DUNN SCHOOL,Los Olivos,Santa Barbara,App,15,5,10
DUNN SCHOOL51863,DUNN SCHOOL,Los Olivos,Santa Barbara,Adm,9,3,6
EASTSIDE COLLEGE PREP SCHOOL50791,EASTSIDE COLLEGE PREP SCHOOL,East Palo Alto,San Mateo,App,49,27,22
EASTSIDE COLLEGE PREP SCHOOL50791,EASTSIDE COLLEGE PREP SCHOOL,East Palo Alto,San Mateo,Adm,41,24,17
EASTSIDE COLLEGE PREP SCHOOL50791,EASTSIDE COLLEGE PREP SCHOOL,East Palo Alto,San Mateo,Enr,17,9,8
ELDORADO EMERSON PRIVATE SCH52277,ELDORADO EMERSON PRIVATE SCH,Orange,Orange,App,14,7,6
ELDORADO EMERSON PRIVATE SCH52277,ELDORADO EMERSON PRIVATE SCH,Orange,Orange,Adm,9,5,4
ELDORADO EMERSON PRIVATE SCH52277,ELDORADO EMERSON PRIVATE SCH,Orange,Orange,Enr,6,4,
ESCONDIDO ADVENTIST ACADEMY50879,ESCONDIDO ADVENTIST ACADEMY,Escondido,San Diego,App,11,6,5
ESCONDIDO ADVENTIST ACADEMY50879,ESCONDIDO ADVENTIST ACADEMY,Escondido,San Diego,Adm,8,4,4
ESCONDIDO ADVENTIST ACADEMY50879,ESCONDIDO ADVENTIST ACADEMY,Escondido,San Diego,Enr,4,,3
EXCELSIOR SCHOOL51584,EXCELSIOR SCHOOL,Arcadia,Los Angeles,App,16,,13
EXCELSIOR SCHOOL51584,EXCELSIOR SCHOOL,Arcadia,Los Angeles,Adm,12,3,9
EXCELSIOR SCHOOL51584,EXCELSIOR SCHOOL,Arcadia,Los Angeles,Enr,11,3,8
FAIRMONT PREPARATORY ACADEMY50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange,App,118,54,64
FAIRMONT PREPARATORY ACADEMY50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange,Adm,81,41,40
FAIRMONT PREPARATORY ACADEMY50103,FAIRMONT PREPARATORY ACADEMY,Anaheim,Orange,Enr,40,18,22
FAITH BAPTIST SCHOOLS50467,FAITH BAPTIST SCHOOLS,Canoga Park,Los Angeles,App,21,15,6
FAITH BAPTIST SCHOOLS50467,FAITH BAPTIST SCHOOLS,Canoga Park,Los Angeles,Adm,13,9,4
FAITH BAPTIST SCHOOLS50467,FAITH BAPTIST SCHOOLS,Canoga Park,Los Angeles,Enr,5,3,
FAITH CHRISTIAN SCHOOL53811,FAITH CHRISTIAN SCHOOL,Yuba City,Sutter,App,5,,
FAITH CHRISTIAN SCHOOL53811,FAITH CHRISTIAN SCHOOL,Yuba City,Sutter,Adm,5,,3
FLINTRIDGE PREPARATORY SCHOOL52375,FLINTRIDGE PREPARATORY SCHOOL,La Canada,Los Angeles,App,84,42,42
FLINTRIDGE PREPARATORY SCHOOL52375,FLINTRIDGE PREPARATORY SCHOOL,La Canada,Los Angeles,Adm,61,32,29
FLINTRIDGE PREPARATORY SCHOOL52375,FLINTRIDGE PREPARATORY SCHOOL,La Canada,Los Angeles,Enr,15,8,7
FLINTRIDGE SACRED HEART ACAD52380,FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles,App,64,63,
FLINTRIDGE SACRED HEART ACAD52380,FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles,Adm,36,36,
FLINTRIDGE SACRED HEART ACAD52380,FLINTRIDGE SACRED HEART ACAD,La Canada,Los Angeles,Enr,17,17,
FOREST LAKE CHRISTIAN SCHOOL50173,FOREST LAKE CHRISTIAN SCHOOL,Auburn,Placer,App,5,,
FRANCIS W PARKER SCHOOL52843,FRANCIS W PARKER SCHOOL,San Diego,San Diego,App,81,36,43
FRANCIS W PARKER SCHOOL52843,FRANCIS W PARKER SCHOOL,San Diego,San Diego,Adm,58,27,30
FRANCIS W PARKER SCHOOL52843,FRANCIS W PARKER SCHOOL,San Diego,San Diego,Enr,21,10,10
FREDERICK K C PRICE III SCHOOL51777,FREDERICK K C PRICE III SCHOOL,Los Angeles,Los Angeles,App,11,,10
FREDERICK K C PRICE III SCHOOL51777,FREDERICK K C PRICE III SCHOOL,Los Angeles,Los Angeles,Adm,3,,3
FREMONT CHRISTIAN HIGH SCHOOL50978,FREMONT CHRISTIAN HIGH SCHOOL,Fremont,Alameda,App,36,17,19
FREMONT CHRISTIAN HIGH SCHOOL50978,FREMONT CHRISTIAN HIGH SCHOOL,Fremont,Alameda,Adm,28,13,15
FREMONT CHRISTIAN HIGH SCHOOL50978,FREMONT CHRISTIAN HIGH SCHOOL,Fremont,Alameda,Enr,16,7,9
FRESNO CHRISTIAN HIGH SCHOOL50994,FRESNO CHRISTIAN HIGH SCHOOL,Fresno,Fresno,App,14,8,5
FRESNO CHRISTIAN HIGH SCHOOL50994,FRESNO CHRISTIAN HIGH SCHOOL,Fresno,Fresno,Adm,9,5,4
FRESNO CHRISTIAN HIGH SCHOOL50994,FRESNO CHRISTIAN HIGH SCHOOL,Fresno,Fresno,Enr,6,3,3
FUSION ACADEMY - LOS ANGELES51612,FUSION ACADEMY - LOS ANGELES,Los Angeles,Los Angeles,App,7,,6
FUSION ACADEMY - LOS ANGELES51612,FUSION ACADEMY - LOS ANGELES,Los Angeles,Los Angeles,Adm,6,,5
FUSION ACADEMY SAN MATEO54595,FUSION ACADEMY SAN MATEO,San Mateo,San Mateo,App,5,,
FUSION ACADEMY SAN MATEO54595,FUSION ACADEMY SAN MATEO,San Mateo,San Mateo,Adm,3,,
GARCES MEMORIAL HIGH SCHOOL50215,GARCES MEMORIAL HIGH SCHOOL,Bakersfield,Kern,App,34,19,15
GARCES MEMORIAL HIGH SCHOOL50215,GARCES MEMORIAL HIGH SCHOOL,Bakersfield,Kern,Adm,17,9,8
GARCES MEMORIAL HIGH SCHOOL50215,GARCES MEMORIAL HIGH SCHOOL,Bakersfield,Kern,Enr,6,,5
GEORGIANA BRUCE KIRBY PREP SCH53290,GEORGIANA BRUCE KIRBY PREP SCH,Santa Cruz,Santa Cruz,App,20,10,10
GEORGIANA BRUCE KIRBY PREP SCH53290,GEORGIANA BRUCE KIRBY PREP SCH,Santa Cruz,Santa Cruz,Adm,15,8,7
GEORGIANA BRUCE KIRBY PREP SCH53290,GEORGIANA BRUCE KIRBY PREP SCH,Santa Cruz,Santa Cruz,Enr,7,,6
GLENDALE ACADEMY51055,GLENDALE ACADEMY,Glendale,Los Angeles,App,12,8,
GLENDALE ACADEMY51055,GLENDALE ACADEMY,Glendale,Los Angeles,Adm,5,4,
GLENDALE ACADEMY51055,GLENDALE ACADEMY,Glendale,Los Angeles,Enr,4,3,
GRACE BRETHREN HIGH SCHOOL53383,GRACE BRETHREN HIGH SCHOOL,Simi Valley,Ventura,App,24,11,13
GRACE BRETHREN HIGH SCHOOL53383,GRACE BRETHREN HIGH SCHOOL,Simi Valley,Ventura,Adm,15,8,7
GRACE BRETHREN HIGH SCHOOL53383,GRACE BRETHREN HIGH SCHOOL,Simi Valley,Ventura,Enr,8,3,5
GRAUER SCHOOL50862,GRAUER SCHOOL,Encinitas,San Diego,App,9,7,
GRAUER SCHOOL50862,GRAUER SCHOOL,Encinitas,San Diego,Adm,6,4,
HARKER SCHOOL53142,HARKER SCHOOL,San Jose,Santa Clara,App,168,88,79
HARKER SCHOOL53142,HARKER SCHOOL,San Jose,Santa Clara,Adm,113,61,52
HARKER SCHOOL53142,HARKER SCHOOL,San Jose,Santa Clara,Enr,23,16,7
HARVARD-WESTLAKE SCHOOL52159,HARVARD-WESTLAKE SCHOOL,Studio City,Los Angeles,App,166,79,84
HARVARD-WESTLAKE SCHOOL52159,HARVARD-WESTLAKE SCHOOL,Studio City,Los Angeles,Adm,64,35,28
HARVARD-WESTLAKE SCHOOL52159,HARVARD-WESTLAKE SCHOOL,Studio City,Los Angeles,Enr,12,4,7
HEAD-ROYCE SCHOOL THE50285,HEAD-ROYCE SCHOOL THE,Oakland,Alameda,App,62,39,22
HEAD-ROYCE SCHOOL THE50285,HEAD-ROYCE SCHOOL THE,Oakland,Alameda,Adm,48,30,17
HEAD-ROYCE SCHOOL THE50285,HEAD-ROYCE SCHOOL THE,Oakland,Alameda,Enr,16,11,5
HERITAGE CHRISTIAN SCHOOL53358,HERITAGE CHRISTIAN SCHOOL,North Hills,Los Angeles,App,41,22,17
HERITAGE CHRISTIAN SCHOOL53358,HERITAGE CHRISTIAN SCHOOL,North Hills,Los Angeles,Adm,26,15,11
HERITAGE CHRISTIAN SCHOOL53358,HERITAGE CHRISTIAN SCHOOL,North Hills,Los Angeles,Enr,15,9,6
HIGH BLUFF ACADEMY53036,HIGH BLUFF ACADEMY,Rancho Santa Fe,San Diego,App,9,,5
HIGH BLUFF ACADEMY53036,HIGH BLUFF ACADEMY,Rancho Santa Fe,San Diego,Adm,8,3,5
HIGH BLUFF ACADEMY53036,HIGH BLUFF ACADEMY,Rancho Santa Fe,San Diego,Enr,4,,3
HILLCREST CHRISTIAN SCHOOL53504,HILLCREST CHRISTIAN SCHOOL,Thousand Oaks,Ventura,App,5,,
HILLCREST CHRISTIAN SCHOOL53504,HILLCREST CHRISTIAN SCHOOL,Thousand Oaks,Ventura,Adm,3,,
HOLY FAMILY HIGH SCHOOL51065,HOLY FAMILY HIGH SCHOOL,Glendale,Los Angeles,App,24,24,
HOLY FAMILY HIGH SCHOOL51065,HOLY FAMILY HIGH SCHOOL,Glendale,Los Angeles,Adm,10,10,
HOLY FAMILY HIGH SCHOOL51065,HOLY FAMILY HIGH SCHOOL,Glendale,Los Angeles,Enr,3,3,
HOLY MARTYRS ARMENIAN HS50869,HOLY MARTYRS ARMENIAN HS,Encino,Los Angeles,App,12,7,5
HOLY MARTYRS ARMENIAN HS50869,HOLY MARTYRS ARMENIAN HS,Encino,Los Angeles,Adm,5,4,
HOLY MARTYRS ARMENIAN HS50869,HOLY MARTYRS ARMENIAN HS,Encino,Los Angeles,Enr,4,3,
HOLY NAMES HIGH SCHOOL52200,HOLY NAMES HIGH SCHOOL,Oakland,Alameda,App,13,13,
HOLY NAMES HIGH SCHOOL52200,HOLY NAMES HIGH SCHOOL,Oakland,Alameda,Adm,12,12,
HOLY NAMES HIGH SCHOOL52200,HOLY NAMES HIGH SCHOOL,Oakland,Alameda,Enr,6,6,
IDYLLWILD ARTS ACADEMY51236,IDYLLWILD ARTS ACADEMY,Idyllwild,Riverside,App,14,9,5
IDYLLWILD ARTS ACADEMY51236,IDYLLWILD ARTS ACADEMY,Idyllwild,Riverside,Adm,9,5,4
IDYLLWILD ARTS ACADEMY51236,IDYLLWILD ARTS ACADEMY,Idyllwild,Riverside,Enr,4,3,
IMMACULATE CONCEPTION ACADEMY52955,IMMACULATE CONCEPTION ACADEMY,San Francisco,San Francisco,App,19,19,
IMMACULATE CONCEPTION ACADEMY52955,IMMACULATE CONCEPTION ACADEMY,San Francisco,San Francisco,Adm,12,12,
IMMACULATE CONCEPTION ACADEMY52955,IMMACULATE CONCEPTION ACADEMY,San Francisco,San Francisco,Enr,7,7,
IMMACULATE HEART HIGH SCHOOL51625,IMMACULATE HEART HIGH SCHOOL,Los Angeles,Los Angeles,App,76,75,
IMMACULATE HEART HIGH SCHOOL51625,IMMACULATE HEART HIGH SCHOOL,Los Angeles,Los Angeles,Adm,36,36,
IMMACULATE HEART HIGH SCHOOL51625,IMMACULATE HEART HIGH SCHOOL,Los Angeles,Los Angeles,Enr,17,17,
IMMANUEL HIGH SCHOOL52613,IMMANUEL HIGH SCHOOL,Reedley,Fresno,Adm,4,,
INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,App,74,41,32
INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,Adm,56,28,27
INTERNATIONAL HIGH SCHOOL FAIS52943,INTERNATIONAL HIGH SCHOOL FAIS,San Francisco,San Francisco,Enr,17,5,11
INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,App,18,11,7
INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Adm,13,8,5
INTERNATIONAL SCHOOL OF LOS ANGELES51694,INTERNATIONAL SCHOOL OF LOS ANGELES,Burbank,Los Angeles,Enr,8,6,
JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,App,112,,111
JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Adm,59,,58
JESUIT HIGH SCHOOL52714,JESUIT HIGH SCHOOL,Carmichael,Sacramento,Enr,29,,29
JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,App,28,14,14
JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,Adm,20,12,8
JEWISH COMMUNITY HS OF THE BAY52984,JEWISH COMMUNITY HS OF THE BAY,San Francisco,San Francisco,Enr,7,3,4
JSERRA CATHOLIC HIGH SCHOOL53197,JSERRA CATHOLIC HIGH SCHOOL,San Juan Capistrano,Orange,App,95,37,56
JSERRA CATHOLIC HIGH SCHOOL53197,JSERRA CATHOLIC HIGH SCHOOL,San Juan Capistrano,Orange,Adm,48,18,29
JSERRA CATHOLIC HIGH SCHOOL53197,JSERRA CATHOLIC HIGH SCHOOL,San Juan Capistrano,Orange,Enr,23,6,17
JUNIPERO SERRA HIGH SCHOOL51025,JUNIPERO SERRA HIGH SCHOOL,Gardena,Los Angeles,App,29,14,15
JUNIPERO SERRA HIGH SCHOOL51025,JUNIPERO SERRA HIGH SCHOOL,Gardena,Los Angeles,Adm,17,10,7
JUNIPERO SERRA HIGH SCHOOL51025,JUNIPERO SERRA HIGH SCHOOL,Gardena,Los Angeles,Enr,11,9,
JUNIPERO SERRA HIGH SCHOOL53180,JUNIPERO SERRA HIGH SCHOOL,San Mateo,San Mateo,App,115,,113
JUNIPERO SERRA HIGH SCHOOL53180,JUNIPERO SERRA HIGH SCHOOL,San Mateo,San Mateo,Adm,64,,62
JUNIPERO SERRA HIGH SCHOOL53180,JUNIPERO SERRA HIGH SCHOOL,San Mateo,San Mateo,Enr,24,,24
JUSTIN SIENA HIGH SCHOOL52082,JUSTIN SIENA HIGH SCHOOL,Napa,Napa,App,57,32,24
JUSTIN SIENA HIGH SCHOOL52082,JUSTIN SIENA HIGH SCHOOL,Napa,Napa,Adm,28,18,10
JUSTIN SIENA HIGH SCHOOL52082,JUSTIN SIENA HIGH SCHOOL,Napa,Napa,Enr,15,10,5
KEHILLAH JEWISH HIGH SCHOOL53173,KEHILLAH JEWISH HIGH SCHOOL,Palo Alto,Santa Clara,App,31,11,18
KEHILLAH JEWISH HIGH SCHOOL53173,KEHILLAH JEWISH HIGH SCHOOL,Palo Alto,Santa Clara,Adm,23,8,13
KEHILLAH JEWISH HIGH SCHOOL53173,KEHILLAH JEWISH HIGH SCHOOL,Palo Alto,Santa Clara,Enr,7,,6
LA JOLLA COUNTRY DAY SCHOOL51333,LA JOLLA COUNTRY DAY SCHOOL,La Jolla,San Diego,App,71,31,38
LA JOLLA COUNTRY DAY SCHOOL51333,LA JOLLA COUNTRY DAY SCHOOL,La Jolla,San Diego,Adm,48,18,29
LA JOLLA COUNTRY DAY SCHOOL51333,LA JOLLA COUNTRY DAY SCHOOL,La Jolla,San Diego,Enr,16,6,10
LA REINA HIGH SCHOOL53501,LA REINA HIGH SCHOOL,Thousand Oaks,Ventura,App,45,45,
LA REINA HIGH SCHOOL53501,LA REINA HIGH SCHOOL,Thousand Oaks,Ventura,Adm,29,29,
LA REINA HIGH SCHOOL53501,LA REINA HIGH SCHOOL,Thousand Oaks,Ventura,Enr,11,11,
LA SALLE HIGH SCHOOL52392,LA SALLE HIGH SCHOOL,Pasadena,Los Angeles,App,79,32,46
LA SALLE HIGH SCHOOL52392,LA SALLE HIGH SCHOOL,Pasadena,Los Angeles,Adm,37,13,23
LA SALLE HIGH SCHOOL52392,LA SALLE HIGH SCHOOL,Pasadena,Los Angeles,Enr,11,4,7
LA SIERRA ACADEMY50140,LA SIERRA ACADEMY,Riverside,Riverside,App,21,10,11
LA SIERRA ACADEMY50140,LA SIERRA ACADEMY,Riverside,Riverside,Adm,10,5,5
LA SIERRA ACADEMY50140,LA SIERRA ACADEMY,Riverside,Riverside,Enr,6,,4
LAGUNA BLANCA SCHOOL53255,LAGUNA BLANCA SCHOOL,Santa Barbara,Santa Barbara,App,25,18,7
LAGUNA BLANCA SCHOOL53255,LAGUNA BLANCA SCHOOL,Santa Barbara,Santa Barbara,Adm,13,8,5
LAGUNA BLANCA SCHOOL53255,LAGUNA BLANCA SCHOOL,Santa Barbara,Santa Barbara,Enr,7,5,
LAKE ARROWHEAD CHRISTIAN SCH53547,LAKE ARROWHEAD CHRISTIAN SCH,Twin Peaks,San Bernardino,Adm,3,,
LAKE TAHOE PREPARATORY SCHOOL52264,LAKE TAHOE PREPARATORY SCHOOL,Olympic Valley,Placer,App,7,,6
LAKE TAHOE PREPARATORY SCHOOL52264,LAKE TAHOE PREPARATORY SCHOOL,Olympic Valley,Placer,Adm,5,,4
LAKE TAHOE PREPARATORY SCHOOL52264,LAKE TAHOE PREPARATORY SCHOOL,Olympic Valley,Placer,Enr,3,,
LAUREL SPRINGS SCHOOL52256,LAUREL SPRINGS SCHOOL,Ojai,Ventura,App,37,22,15
LAUREL SPRINGS SCHOOL52256,LAUREL SPRINGS SCHOOL,Ojai,Ventura,Adm,23,13,10
LAUREL SPRINGS SCHOOL52256,LAUREL SPRINGS SCHOOL,Ojai,Ventura,Enr,14,8,6
LE LYCEE FRANCAIS DE LOS ANGELES50321,LE LYCEE FRANCAIS DE LOS ANGELES,Los Angeles,Los Angeles,App,32,21,11
LE LYCEE FRANCAIS DE LOS ANGELES50321,LE LYCEE FRANCAIS DE LOS ANGELES,Los Angeles,Los Angeles,Adm,21,15,6
LE LYCEE FRANCAIS DE LOS ANGELES50321,LE LYCEE FRANCAIS DE LOS ANGELES,Los Angeles,Los Angeles,Enr,9,8,
LICK WILMERDING HIGH SCHOOL52967,LICK WILMERDING HIGH SCHOOL,San Francisco,San Francisco,App,83,37,43
LICK WILMERDING HIGH SCHOOL52967,LICK WILMERDING HIGH SCHOOL,San Francisco,San Francisco,Adm,50,22,28
LICK WILMERDING HIGH SCHOOL52967,LICK WILMERDING HIGH SCHOOL,San Francisco,San Francisco,Enr,15,8,7
LINFIELD CHRISTIAN SCHOOL51570,LINFIELD CHRISTIAN SCHOOL,Temecula,Riverside,App,30,19,11
LINFIELD CHRISTIAN SCHOOL51570,LINFIELD CHRISTIAN SCHOOL,Temecula,Riverside,Adm,19,13,6
LINFIELD CHRISTIAN SCHOOL51570,LINFIELD CHRISTIAN SCHOOL,Temecula,Riverside,Enr,9,7,
LODI ACADEMY51435,LODI ACADEMY,Lodi,San Joaquin,Adm,4,,
LODI ACADEMY51435,LODI ACADEMY,Lodi,San Joaquin,Enr,3,,
LOMA LINDA ACADEMY51445,LOMA LINDA ACADEMY,Loma Linda,San Bernardino,App,29,19,9
LOMA LINDA ACADEMY51445,LOMA LINDA ACADEMY,Loma Linda,San Bernardino,Adm,14,10,4
LOMA LINDA ACADEMY51445,LOMA LINDA ACADEMY,Loma Linda,San Bernardino,Enr,7,5,
LOUISVILLE HIGH SCHOOL53802,LOUISVILLE HIGH SCHOOL,Woodland Hills,Los Angeles,App,48,48,
LOUISVILLE HIGH SCHOOL53802,LOUISVILLE HIGH SCHOOL,Woodland Hills,Los Angeles,Adm,24,24,
LOUISVILLE HIGH SCHOOL53802,LOUISVILLE HIGH SCHOOL,Woodland Hills,Los Angeles,Enr,10,10,
LOYOLA HIGH SCHOOL51685,LOYOLA HIGH SCHOOL,Los Angeles,Los Angeles,App,194,,191
LOYOLA HIGH SCHOOL51685,LOYOLA HIGH SCHOOL,Los Angeles,Los Angeles,Adm,116,,114
LOYOLA HIGH SCHOOL51685,LOYOLA HIGH SCHOOL,Los Angeles,Los Angeles,Enr,39,,39
LUTHERAN HIGH SCHL ORANGE CNTY52269,LUTHERAN HIGH SCHL ORANGE CNTY,Orange,Orange,App,108,44,62
LUTHERAN HIGH SCHL ORANGE CNTY52269,LUTHERAN HIGH SCHL ORANGE CNTY,Orange,Orange,Adm,54,25,27
LUTHERAN HIGH SCHL ORANGE CNTY52269,LUTHERAN HIGH SCHL ORANGE CNTY,Orange,Orange,Enr,29,14,15
LUTHERAN HIGH SCHOOL51373,LUTHERAN HIGH SCHOOL,La Verne,Los Angeles,App,14,,11
LUTHERAN HIGH SCHOOL51373,LUTHERAN HIGH SCHOOL,La Verne,Los Angeles,Adm,11,3,8
LUTHERAN HIGH SCHOOL51373,LUTHERAN HIGH SCHOOL,La Verne,Los Angeles,Enr,6,,6
LYCEE FRANCAIS DE SAN FRAN52971,LYCEE FRANCAIS DE SAN FRAN,San Francisco,San Francisco,App,32,23,9
LYCEE FRANCAIS DE SAN FRAN52971,LYCEE FRANCAIS DE SAN FRAN,San Francisco,San Francisco,Adm,25,19,6
LYCEE FRANCAIS DE SAN FRAN52971,LYCEE FRANCAIS DE SAN FRAN,San Francisco,San Francisco,Enr,8,5,3
MARANATHA CHRISTIAN SCHOOLS54056,MARANATHA CHRISTIAN SCHOOLS,San Diego,San Diego,App,29,15,14
MARANATHA CHRISTIAN SCHOOLS54056,MARANATHA CHRISTIAN SCHOOLS,San Diego,San Diego,Adm,18,9,9
MARANATHA CHRISTIAN SCHOOLS54056,MARANATHA CHRISTIAN SCHOOLS,San Diego,San Diego,Enr,11,5,6
MARANATHA HIGH SCHOOL52686,MARANATHA HIGH SCHOOL,Pasadena,Los Angeles,App,83,38,45
MARANATHA HIGH SCHOOL52686,MARANATHA HIGH SCHOOL,Pasadena,Los Angeles,Adm,46,23,23
MARANATHA HIGH SCHOOL52686,MARANATHA HIGH SCHOOL,Pasadena,Los Angeles,Enr,20,11,9
MARIN ACADEMY53212,MARIN ACADEMY,San Rafael,Marin,App,52,23,27
MARIN ACADEMY53212,MARIN ACADEMY,San Rafael,Marin,Adm,27,14,11
MARIN ACADEMY53212,MARIN ACADEMY,San Rafael,Marin,Enr,10,5,5
MARIN CATHOLIC HIGH SCHOOL53215,MARIN CATHOLIC HIGH SCHOOL,Kentfield,Marin,App,94,44,49
MARIN CATHOLIC HIGH SCHOOL53215,MARIN CATHOLIC HIGH SCHOOL,Kentfield,Marin,Adm,45,23,22
MARIN CATHOLIC HIGH SCHOOL53215,MARIN CATHOLIC HIGH SCHOOL,Kentfield,Marin,Enr,15,8,7
MARIN SCHOOL THE52498,MARIN SCHOOL THE,San Rafael,Marin,Adm,3,,3
MARLBOROUGH SCHOOL51710,MARLBOROUGH SCHOOL,Los Angeles,Los Angeles,App,48,46,
MARLBOROUGH SCHOOL51710,MARLBOROUGH SCHOOL,Los Angeles,Los Angeles,Adm,20,19,
MARLBOROUGH SCHOOL51710,MARLBOROUGH SCHOOL,Los Angeles,Los Angeles,Enr,4,3,
MARY STAR OF THE SEA HIGH SCH53200,MARY STAR OF THE SEA HIGH SCH,San Pedro,Los Angeles,App,62,31,31
